store,offset,size,label,source
IntelSetup,0xCFD,2,Prefetchable Memory,Platform
IntelSetup,0xD97,1,Prefetchable Memory Alignment,Platform
IntelSetup,0xD3F,1,Reserved I/O,Platform
IntelSetup,0x563,1,PCI-E Port Link,Platform
IntelSetup,0x823,1,Link Speed,Platform
IntelSetup,0x1742,1,Override Max Link Width,Platform
IntelSetup,0x87B,1,PCI-E Port DeEmphasis,Platform
IntelSetup,0x5BB,1,PCI-E Port Clocking,Platform
IntelSetup,0x5E7,1,PCI-E Slot Clock Source,Platform
IntelSetup,0x613,1,PCI-E Port Max Payload Size,Platform
IntelSetup,0x63F,1,PCI-E Port D-state,Platform
IntelSetup,0x58F,1,PCI-E ASPM Support,Platform
IntelSetup,0x66B,1,PCI-E Port L0s Exit Latency,Platform
IntelSetup,0x697,1,PCI-E Port L1 Exit Latency,Platform
IntelSetup,0x6C3,1,MSI,Platform
IntelSetup,0x6EF,1,PCI-E Extended Sync,Platform
IntelSetup,0x84F,1,Compliance Mode,Platform
IntelSetup,0x8A7,1,EOI,Platform
IntelSetup,0x8D3,1,Fatal Err Over,Platform
IntelSetup,0x8FF,1,Non-Fatal Err Over,Platform
IntelSetup,0x92B,1,Corr Err Over,Platform
IntelSetup,0x957,1,ACPI PME Interrupt,Platform
IntelSetup,0x983,1,L0s Support,Platform
IntelSetup,0x9DB,1,P2P Memory Write,Platform
IntelSetup,0xA07,1,P2P Memory Read,Platform
IntelSetup,0xA75,1,PME to ACK,Platform
IntelSetup,0xAB7,1,HotPlug ACPI Mode,Platform
IntelSetup,0xAE3,1,PM ACPI Mode,Platform
IntelSetup,0xE23,1,Gen3 Eq Mode,Platform
IntelSetup,0xE4F,1,Gen3 Spec Mode,Platform
IntelSetup,0xEA7,1,Gen3 Phase2 Mode,Platform
IntelSetup,0xEFF,1,Ph2 TxEq Precursor,Platform
IntelSetup,0xF2B,1,Ph2 TxEq Cursor,Platform
IntelSetup,0xF57,1,Ph2 TxEq Postcursor,Platform
IntelSetup,0xED3,1,Gen3 Phase3 Mode,Platform
IntelSetup,0xF83,1,Ph3 TxEq Precursor,Platform
IntelSetup,0xFAF,1,Ph3 TxEq Cursor,Platform
IntelSetup,0xFDB,1,Ph3 TxEq Postcursor,Platform
IntelSetup,0xE7B,1,Gen3 Linkup Flow,Platform
IntelSetup,0x1007,1,Gen3 Retrain Type,Platform
IntelSetup,0x1033,1,Gen3 DN Tx Preset,Platform
IntelSetup,0x105F,1,Gen3 DN Rx Preset Hint,Platform
IntelSetup,0x108B,1,Gen3 UP Tx Preset,Platform
IntelSetup,0xBCA,1,Hide Port?,Platform
IntelSetup,0x1716,1,Pcie Ecrc,Platform
IntelSetup,0x748,1,PCI-E Port,Platform
IntelSetup,0x412,1,Hot Plug Capable,Platform
IntelSetup,0xC64,1,Extra Bus Reserved,Platform
IntelSetup,0xCA7,2,Reserved Memory,Platform
IntelSetup,0xD6C,1,Reseved Memory Alignment,Platform
IntelSetup,0xCFF,2,Prefetchable Memory,Platform
IntelSetup,0xD98,1,Prefetchable Memory Alignment,Platform
IntelSetup,0xD40,1,Reserved I/O,Platform
IntelSetup,0x564,1,PCI-E Port Link,Platform
IntelSetup,0x824,1,Link Speed,Platform
IntelSetup,0x1743,1,Override Max Link Width,Platform
IntelSetup,0x87C,1,PCI-E Port DeEmphasis,Platform
IntelSetup,0x5BC,1,PCI-E Port Clocking,Platform
IntelSetup,0x5E8,1,PCI-E Slot Clock Source,Platform
IntelSetup,0x614,1,PCI-E Port Max Payload Size,Platform
IntelSetup,0x640,1,PCI-E Port D-state,Platform
IntelSetup,0x590,1,PCI-E ASPM Support,Platform
IntelSetup,0x66C,1,PCI-E Port L0s Exit Latency,Platform
IntelSetup,0x698,1,PCI-E Port L1 Exit Latency,Platform
IntelSetup,0x6C4,1,MSI,Platform
IntelSetup,0x6F0,1,PCI-E Extended Sync,Platform
IntelSetup,0x850,1,Compliance Mode,Platform
IntelSetup,0x8A8,1,EOI,Platform
IntelSetup,0x8D4,1,Fatal Err Over,Platform
IntelSetup,0x900,1,Non-Fatal Err Over,Platform
IntelSetup,0x92C,1,Corr Err Over,Platform
IntelSetup,0x958,1,ACPI PME Interrupt,Platform
IntelSetup,0x984,1,L0s Support,Platform
IntelSetup,0x9DC,1,P2P Memory Write,Platform
IntelSetup,0xA08,1,P2P Memory Read,Platform
IntelSetup,0xA76,1,PME to ACK,Platform
IntelSetup,0xAB8,1,HotPlug ACPI Mode,Platform
IntelSetup,0xAE4,1,PM ACPI Mode,Platform
IntelSetup,0xE24,1,Gen3 Eq Mode,Platform
IntelSetup,0xE50,1,Gen3 Spec Mode,Platform
IntelSetup,0xEA8,1,Gen3 Phase2 Mode,Platform
IntelSetup,0xF00,1,Ph2 TxEq Precursor,Platform
IntelSetup,0xF2C,1,Ph2 TxEq Cursor,Platform
IntelSetup,0xF58,1,Ph2 TxEq Postcursor,Platform
IntelSetup,0xED4,1,Gen3 Phase3 Mode,Platform
IntelSetup,0xF84,1,Ph3 TxEq Precursor,Platform
IntelSetup,0xFB0,1,Ph3 TxEq Cursor,Platform
IntelSetup,0xFDC,1,Ph3 TxEq Postcursor,Platform
IntelSetup,0xE7C,1,Gen3 Linkup Flow,Platform
IntelSetup,0x1008,1,Gen3 Retrain Type,Platform
IntelSetup,0x1034,1,Gen3 DN Tx Preset,Platform
IntelSetup,0x1060,1,Gen3 DN Rx Preset Hint,Platform
IntelSetup,0x108C,1,Gen3 UP Tx Preset,Platform
IntelSetup,0xBCB,1,Hide Port?,Platform
IntelSetup,0x1717,1,Pcie Ecrc,Platform
IntelSetup,0x749,1,PCI-E Port,Platform
IntelSetup,0x413,1,Hot Plug Capable,Platform
IntelSetup,0xC65,1,Extra Bus Reserved,Platform
IntelSetup,0xCA9,2,Reserved Memory,Platform
IntelSetup,0xD6D,1,Reseved Memory Alignment,Platform
IntelSetup,0xD01,2,Prefetchable Memory,Platform
IntelSetup,0xD99,1,Prefetchable Memory Alignment,Platform
IntelSetup,0xD41,1,Reserved I/O,Platform
IntelSetup,0x565,1,PCI-E Port Link,Platform
IntelSetup,0x825,1,Link Speed,Platform
IntelSetup,0x1744,1,Override Max Link Width,Platform
IntelSetup,0x87D,1,PCI-E Port DeEmphasis,Platform
IntelSetup,0x5BD,1,PCI-E Port Clocking,Platform
IntelSetup,0x5E9,1,PCI-E Slot Clock Source,Platform
IntelSetup,0x615,1,PCI-E Port Max Payload Size,Platform
IntelSetup,0x641,1,PCI-E Port D-state,Platform
IntelSetup,0x591,1,PCI-E ASPM Support,Platform
IntelSetup,0x66D,1,PCI-E Port L0s Exit Latency,Platform
IntelSetup,0x699,1,PCI-E Port L1 Exit Latency,Platform
IntelSetup,0x6C5,1,MSI,Platform
IntelSetup,0x6F1,1,PCI-E Extended Sync,Platform
IntelSetup,0x851,1,Compliance Mode,Platform
IntelSetup,0x8A9,1,EOI,Platform
IntelSetup,0x8D5,1,Fatal Err Over,Platform
IntelSetup,0x901,1,Non-Fatal Err Over,Platform
IntelSetup,0x92D,1,Corr Err Over,Platform
IntelSetup,0x959,1,ACPI PME Interrupt,Platform
IntelSetup,0x985,1,L0s Support,Platform
IntelSetup,0x9DD,1,P2P Memory Write,Platform
IntelSetup,0xA09,1,P2P Memory Read,Platform
IntelSetup,0xA77,1,PME to ACK,Platform
IntelSetup,0xAB9,1,HotPlug ACPI Mode,Platform
IntelSetup,0xAE5,1,PM ACPI Mode,Platform
IntelSetup,0xE25,1,Gen3 Eq Mode,Platform
IntelSetup,0xE51,1,Gen3 Spec Mode,Platform
IntelSetup,0xEA9,1,Gen3 Phase2 Mode,Platform
IntelSetup,0xF01,1,Ph2 TxEq Precursor,Platform
IntelSetup,0xF2D,1,Ph2 TxEq Cursor,Platform
IntelSetup,0xF59,1,Ph2 TxEq Postcursor,Platform
IntelSetup,0xED5,1,Gen3 Phase3 Mode,Platform
IntelSetup,0xF85,1,Ph3 TxEq Precursor,Platform
IntelSetup,0xFB1,1,Ph3 TxEq Cursor,Platform
IntelSetup,0xFDD,1,Ph3 TxEq Postcursor,Platform
IntelSetup,0xE7D,1,Gen3 Linkup Flow,Platform
IntelSetup,0x1009,1,Gen3 Retrain Type,Platform
IntelSetup,0x1035,1,Gen3 DN Tx Preset,Platform
IntelSetup,0x1061,1,Gen3 DN Rx Preset Hint,Platform
IntelSetup,0x108D,1,Gen3 UP Tx Preset,Platform
IntelSetup,0xBCC,1,Hide Port?,Platform
IntelSetup,0x1718,1,Pcie Ecrc,Platform
IntelSetup,0x74A,1,PCI-E Port,Platform
IntelSetup,0x414,1,Hot Plug Capable,Platform
IntelSetup,0xC66,1,Extra Bus Reserved,Platform
IntelSetup,0xCAB,2,Reserved Memory,Platform
IntelSetup,0xD6E,1,Reseved Memory Alignment,Platform
IntelSetup,0xD03,2,Prefetchable Memory,Platform
IntelSetup,0xD9A,1,Prefetchable Memory Alignment,Platform
IntelSetup,0xD42,1,Reserved I/O,Platform
IntelSetup,0x566,1,PCI-E Port Link,Platform
IntelSetup,0x826,1,Link Speed,Platform
IntelSetup,0x1745,1,Override Max Link Width,Platform
IntelSetup,0x87E,1,PCI-E Port DeEmphasis,Platform
IntelSetup,0x5BE,1,PCI-E Port Clocking,Platform
IntelSetup,0x5EA,1,PCI-E Slot Clock Source,Platform
IntelSetup,0x616,1,PCI-E Port Max Payload Size,Platform
IntelSetup,0x642,1,PCI-E Port D-state,Platform
IntelSetup,0x592,1,PCI-E ASPM Support,Platform
IntelSetup,0x66E,1,PCI-E Port L0s Exit Latency,Platform
IntelSetup,0x69A,1,PCI-E Port L1 Exit Latency,Platform
IntelSetup,0x6C6,1,MSI,Platform
IntelSetup,0x6F2,1,PCI-E Extended Sync,Platform
IntelSetup,0x852,1,Compliance Mode,Platform
IntelSetup,0x8AA,1,EOI,Platform
IntelSetup,0x8D6,1,Fatal Err Over,Platform
IntelSetup,0x902,1,Non-Fatal Err Over,Platform
IntelSetup,0x92E,1,Corr Err Over,Platform
IntelSetup,0x95A,1,ACPI PME Interrupt,Platform
IntelSetup,0x986,1,L0s Support,Platform
IntelSetup,0x9DE,1,P2P Memory Write,Platform
IntelSetup,0xA0A,1,P2P Memory Read,Platform
IntelSetup,0xA78,1,PME to ACK,Platform
IntelSetup,0xABA,1,HotPlug ACPI Mode,Platform
IntelSetup,0xAE6,1,PM ACPI Mode,Platform
IntelSetup,0xE26,1,Gen3 Eq Mode,Platform
IntelSetup,0xE52,1,Gen3 Spec Mode,Platform
IntelSetup,0xEAA,1,Gen3 Phase2 Mode,Platform
IntelSetup,0xF02,1,Ph2 TxEq Precursor,Platform
IntelSetup,0xF2E,1,Ph2 TxEq Cursor,Platform
IntelSetup,0xF5A,1,Ph2 TxEq Postcursor,Platform
IntelSetup,0xED6,1,Gen3 Phase3 Mode,Platform
IntelSetup,0xF86,1,Ph3 TxEq Precursor,Platform
IntelSetup,0xFB2,1,Ph3 TxEq Cursor,Platform
IntelSetup,0xFDE,1,Ph3 TxEq Postcursor,Platform
IntelSetup,0xE7E,1,Gen3 Linkup Flow,Platform
IntelSetup,0x100A,1,Gen3 Retrain Type,Platform
IntelSetup,0x1036,1,Gen3 DN Tx Preset,Platform
IntelSetup,0x1062,1,Gen3 DN Rx Preset Hint,Platform
IntelSetup,0x108E,1,Gen3 UP Tx Preset,Platform
IntelSetup,0xBCD,1,Hide Port?,Platform
IntelSetup,0x1719,1,Pcie Ecrc,Platform
IntelSetup,0x74B,1,PCI-E Port,Platform
IntelSetup,0x415,1,Hot Plug Capable,Platform
IntelSetup,0xC67,1,Extra Bus Reserved,Platform
IntelSetup,0xCAD,2,Reserved Memory,Platform
IntelSetup,0xD6F,1,Reseved Memory Alignment,Platform
IntelSetup,0xD05,2,Prefetchable Memory,Platform
IntelSetup,0xD9B,1,Prefetchable Memory Alignment,Platform
IntelSetup,0xD43,1,Reserved I/O,Platform
IntelSetup,0x567,1,PCI-E Port Link,Platform
IntelSetup,0x827,1,Link Speed,Platform
IntelSetup,0x1746,1,Override Max Link Width,Platform
IntelSetup,0x87F,1,PCI-E Port DeEmphasis,Platform
IntelSetup,0x5BF,1,PCI-E Port Clocking,Platform
IntelSetup,0x5EB,1,PCI-E Slot Clock Source,Platform
IntelSetup,0x617,1,PCI-E Port Max Payload Size,Platform
IntelSetup,0x643,1,PCI-E Port D-state,Platform
IntelSetup,0x593,1,PCI-E ASPM Support,Platform
IntelSetup,0x66F,1,PCI-E Port L0s Exit Latency,Platform
IntelSetup,0x69B,1,PCI-E Port L1 Exit Latency,Platform
IntelSetup,0x6C7,1,MSI,Platform
